rentfaster_id,city,province,address,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,link,furnishing,availability_date,smoking,cats,dogs
365942,Toronto,Ontario,39 Niagara Street,43.64161486,-79.40088115,Long Term,Apartment,2227,Studio,1,,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/365942,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
529183,Toronto,Ontario,9 Croham Road,43.69288768,-79.463348,Long Term,Apartment,3999,3 Beds,3,1389,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/529183,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
550236,Toronto,Ontario,1075 Queen Street East,43.6617852,-79.3363739,Long Term,Apartment,2775,1 Bed,1,749,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/550236,Furnished,Immediate,,TRUE,TRUE
542973,Toronto,Ontario,8 Gloucester Street,43.6669029,-79.3848669,Long Term,Apartment,2589,1 Bed,1,453,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/542973,Unfurnished,Immediate,,TRUE,TRUE
499703,Toronto,Ontario,71 Redpath Ave,43.706028,-79.3918579,Long Term,Apartment,6000,2 Beds,2.5,917,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/499703,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
538223,Toronto,Ontario,7 Grosvenor Street,43.6626423,-79.3848476,Long Term,Apartment,2550,1 Bed,1,460,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/538223,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
533268,Toronto,Ontario,131 Mill Street,43.6514035,-79.3571297,Long Term,Apartment,2491,1 Bed,1,483,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/533268,Unfurnished,Immediate,,TRUE,TRUE
470188,Toronto,Ontario,200 Redpath Avenue,43.7103771,-79.3939141,Long Term,Apartment,3025,1 Bed,1,457,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/470188,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
523076,Toronto,Ontario,2376 Dundas Street West,43.6579605,-79.4518418,Long Term,Apartment,2880,2 Beds,1,779,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/523076,Unfurnished,Immediate,Smoke Free Building,TRUE,TRUE
309238,Toronto,Ontario,111 Pacific Avenue,43.65642765,-79.46444461,Long Term,Apartment,2231,1 Bed,1,,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/309238,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
553004,Toronto,Ontario,33 Isabella Street East,43.6677017,-79.3836975,Long Term,Apartment,1845,Studio,1,300,/on/toronto/rentals/apartment/1-bedroom/553004,Unfurnished,Immediate,,FALSE,FALSE
553003,Toronto,Ontario,2 Clarendon Avenue,43.6836014,-79.4007034,Long Term,Apartment,2195,Studio,1,481,/on/toronto/rentals/apartment/1-bedroom/553003,Unfurnished,Immediate,,FALSE,FALSE
565878,Toronto,Ontario,7 Fairbank Ave,43.6954523,-79.4525846,Long Term,Apartment,2995,2 Beds,1,809,/on/toronto/rentals/apartment/2-bedrooms/pet-friendly/565878,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
569606,Toronto,Ontario,252 Victoria Street,43.6555991,-79.3794212,Long Term,Apartment,2000,Studio,1,362,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/569606,Unfurnished,Immediate,,TRUE,TRUE
564744,Toronto,Ontario,2525 Bathurst Street,43.7060013,-79.4261017,Long Term,Apartment,4295,2 Beds,2,1228,/on/toronto/rentals/apartment/1-bedroom/564744,Unfurnished,Immediate,,FALSE,FALSE
552998,Toronto,Ontario,11 Walmer Rd.,43.6671982,-79.4052963,Long Term,Apartment,2250,Studio,1,448,/on/toronto/rentals/apartment/1-bedroom/552998,Unfurnished,Immediate,,FALSE,FALSE
309234,Toronto,Ontario,750 York Mills Road,43.7538791,-79.36153801,Long Term,Apartment,2437,1 Bed,1,,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/309234,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
564175,Toronto,Ontario,748 Bathurst Street,43.6640947,-79.4110622,Long Term,Apartment,2595,1 Bed,1,561,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/564175,Unfurnished,Immediate,,TRUE,TRUE
553001,Toronto,Ontario,666 Spadina Avenue,43.6640015,-79.4029999,Long Term,Apartment,3395,2 Beds,1,0,/on/toronto/rentals/apartment/1-bedroom/553001,Unfurnished,Immediate,,FALSE,FALSE
434633,Toronto,Ontario,40 Pleasant Blvd,43.6874886,-79.3924886,Long Term,Apartment,3217,2 Beds,1.5,937,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/434633,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
500907,Toronto,Ontario,299 The Kingsway,43.6639081,-79.5206793,Long Term,Apartment,2700,1 Bed,1.5,677,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/500907,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
563150,Toronto,Ontario,44 Charles Street West,43.66973188,-79.38881764,Long Term,Apartment,2695,1 Bed,1,635,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/563150,Unfurnished,Immediate,,TRUE,TRUE
560434,Toronto,Ontario,55 Smooth Rose Court,43.7743998,-79.3334421,Long Term,Apartment,3501,2 Beds,2,844,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/560434,Unfurnished,05-Jul,,TRUE,TRUE
493478,Toronto,Ontario,425 Wellington Street West,43.6434647,-79.3961002,Long Term,Apartment,2870,1 Bed,1,561,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/493478,Unfurnished,07-Jul,,TRUE,TRUE
517914,Toronto,Ontario,450 Front Street West,43.6424197,-79.3966213,Long Term,Apartment,2206,Studio,1,479,/on/toronto/rentals/apartment/1-bedroom/non-smoking/517914,Unfurnished,07-Aug,Non-Smoking,FALSE,FALSE
568787,Toronto,Ontario,25 Dalhousie Street and 30 Mutual Street,43.6542619,-79.37489,Long Term,Apartment,3025,1 Bed,1,641,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/568787,Unfurnished,01-Aug,,TRUE,TRUE
411567,Toronto,Ontario,18 Erskine Ave,43.7112787,-79.3986824,Long Term,Apartment,3450,2 Beds,2,847,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/411567,Unfurnished,01-Aug,Non-Smoking,TRUE,TRUE
564207,Toronto,Ontario,225 Adelaide St. West,43.6480117,-79.3884094,Long Term,Apartment,2695,1 Bed,1,587,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/564207,Unfurnished,01-Jul,,TRUE,TRUE
467150,Toronto,Ontario,1100  King Street West,43.6401038,-79.4226564,Long Term,Apartment,2297,1 Bed,1,530,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/467150,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
