name,latitude,longitude
Bay,43.6701851,-79.3902694
Dundas West,43.656937,-79.4530402
St. Patrick,43.6548199,-79.3882736
TMU,43.6565367,-79.3810223
St. George,43.6684387,-79.398844
Osgoode,43.6508016,-79.3865409
St. Andrew,43.6477917,-79.3848711
King,43.6489494,-79.3777538
Queen,43.6529083,-79.3794575
College,43.6606617,-79.3827952
Wellesley,43.6655242,-79.3838011
St. Clair,43.6879512,-79.3936947
Eglinton,43.7061229,-79.39853
Lawrence,43.7263483,-79.4024743
York Mills,43.7440391,-79.406657
Finch,43.7812974,-79.4158993
Old Mill,43.649826,-79.4943338
North York Centre,43.7686787,-79.4126298
Summerhill,43.6816776,-79.3905037
Queen's Park,43.6596838,-79.3901923
Finch West,43.7639743,-79.4915419
Sheppard West,43.7492988,-79.462248
Keele,43.655569,-79.4595795
High Park,43.6538668,-79.4668644
Kipling,43.6376161,-79.5355081
Glencairn,43.7086497,-79.4406853
Bloor-Yonge,43.6707855,-79.3856867
Runnymede,43.6517026,-79.4759978
Jane,43.6499177,-79.4838463
Sherbourne,43.6722828,-79.376394
Castle Frank,43.6734986,-79.3690458
Kennedy,43.732429,-79.2637529
Downsview Park,43.7535983,-79.4784098
Christie,43.6641066,-79.4183969
Sheppard-Yonge,43.7614518,-79.4109148
Bayview,43.7667987,-79.3873787
Bessarion,43.7691308,-79.3765761
Don Mills,43.775347,-79.3459439
Leslie,43.7710725,-79.365634
Davisville,43.697936,-79.3972908
Union,43.6456424,-79.3802085
Spadina,43.6685404,-79.4047039
Museum,43.6668462,-79.3933506
St. Clair West,43.6850034,-79.4153079
Dupont,43.6747046,-79.406983
Cedarvale,43.7000172,-79.4363964
Wilson,43.7344762,-79.4500619
Yorkdale,43.7246418,-79.4475031
Lawrence West,43.7152207,-79.4439143
Pioneer Village,43.7768588,-79.5092824
Pape,43.6799212,-79.3449046
Royal York,43.6481827,-79.5112961
Islington,43.645335,-79.5248163
Lansdowne,43.6591114,-79.4427866
Dufferin,43.6602635,-79.4353869
Ossington,43.6623783,-79.42633
Bathurst,43.6659322,-79.4112359
Warden,43.7111204,-79.2790432
Victoria Park,43.6948799,-79.2887965
Main Street,43.6890489,-79.3016043
Woodbine,43.6864139,-79.3126246
Coxwell,43.6841524,-79.323043
Greenwood,43.6825599,-79.3302652
Donlands,43.6810265,-79.3377871
York University,43.7741232,-79.4996291
Chester,43.6782277,-79.3525143
Broadview,43.6769905,-79.3581925
Unknown,43.7063996,-79.3989503
Rosedale,43.6764642,-79.3885257
