adaptive_cell_id,rental_count,seed_grid_x,seed_grid_y,growth_rings,x_centroid,y_centroid,seed_local_k_radius_m,radius_m,mean_rent,median_rent,mean_price_per_bedroom,member_rental_idx,centroid_lon,centroid_lat,cell_area_km2,crime_count_in_circle,violent_crime_count_in_circle,violent_crime_ratio_in_circle,restaurant_count_in_circle,subway_count_in_circle,crime_assignment_median_dist_m,restaurant_assignment_median_dist_m,subway_assignment_median_dist_m
ac_0000,3,170,67,0,629650.0,4833950.0,33.51763532755261,33.51763532755261,2283.3333333333335,2350.0,2283.3333333333335,"62,420,407",-79.39239884686204,43.6472458305665,0.003529365334578827,102,70,0.6862745098039216,12,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0001,3,181,82,0,630750.0,4835450.0,19.72120988829975,19.72120988829975,2250.0,2000.0,1783.3333333333333,"217,1,79",-79.37840137643114,43.660553900721176,0.0012218474396796073,354,238,0.672316384180791,12,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0002,3,179,61,0,630550.0,4833350.0,39.91139811058988,39.91139811058988,2616.6666666666665,2050.0,1772.2222222222224,"47,186,294",-79.38138866806831,43.641688087530646,0.005004304824582962,124,77,0.6209677419354839,3,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0003,3,170,67,0,629650.0,4833950.0,33.51763532755261,33.51763532755261,2150.0,2100.0,1733.3333333333333,"86,96,98",-79.39239884686204,43.6472458305665,0.003529365334578827,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0004,3,181,61,0,630750.0,4833350.0,16.590648722670878,16.590648722670878,2483.3333333333335,2550.0,2483.3333333333335,"165,338,377",-79.37890996502657,43.641652955359085,0.0008647221999260587,84,78,0.9285714285714286,13,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0005,3,181,82,0,630750.0,4835450.0,19.72120988829975,19.72120988829975,2050.0,2000.0,2050.0,"81,97,151",-79.37840137643114,43.660553900721176,0.0012218474396796073,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0006,3,179,61,0,630550.0,4833350.0,39.91139811058988,39.91139811058988,3183.3333333333335,2600.0,1661.111111111111,"404,434,468",-79.38138866806831,43.641688087530646,0.005004304824582962,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0007,3,170,67,0,629650.0,4833950.0,33.51763532755261,33.51763532755261,2096.6666666666665,2090.0,2096.6666666666665,"149,170,212",-79.39239884686204,43.6472458305665,0.003529365334578827,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0008,3,191,74,0,631750.0,4834650.0,52.951205819371786,52.951205819371786,2310.0,2450.0,2310.0,"66,123,196",-79.36619933108402,43.653177010162615,0.008808492351087561,262,132,0.5038167938931297,3,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0009,3,179,60,0,630550.0,4833250.0,33.19384364202148,33.19384364202148,2200.0,2200.0,1466.6666666666667,"55,2,20",-79.38141283725956,43.64078803973265,0.0034615049785000304,19,12,0.631578947368421,5,0,673.7528577394792,290.34015792032005,394.39759579881957
