dataset,step,rows_before,rows_after,dropped_rows,drop_pct,detail
crime,keep_occurrenceyear_2014_2019,206435,205321,1114,0.5396,
crime,drop_missing_core_fields,205321,205321,0,0.0,
crime,toronto_bbox_filter,205321,205321,0,0.0,
crime,dedup_event_unique_id,205321,178892,26429,12.872,subset=['event_unique_id']
rentals,dedup_listing_signature,1722,1414,308,17.8862,"subset=['Address', 'Bedroom', 'Bathroom', 'Den', 'Lat', 'Long', 'Price']"
rentals,keep_address_contains_toronto,1414,1197,217,15.3465,
rentals,drop_missing_core_fields,1197,1197,0,0.0,
rentals,toronto_bbox_filter,1197,1196,1,0.0835,
rentals,bedroom_plausibility_0_6,1196,1196,0,0.0,
rentals,bathroom_plausibility_0_5,1196,1196,0,0.0,
rentals,price_plausibility_400_10000,1196,1191,5,0.4181,
rentals,winsorize_price_q01_q99,1191,1191,0,0.0,q01=900.00;q99=4900.00;winsorized_rows=22
restaurants,drop_missing_coords,15821,15773,48,0.3034,
restaurants,toronto_bbox_filter,15773,15722,51,0.3233,
restaurants,keep_address_contains_toronto,15722,11801,3921,24.9396,
restaurants,impute_restaurant_price_category_then_global,11801,11801,0,0.0,global_median=20.50
restaurants,dedup_restaurant_venue_signature,11801,6101,5700,48.301,"subset=['Restaurant Name', 'Restaurant Address', 'Restaurant Latitude', 'Restaurant Longitude']"
subway,drop_missing_coords,69,69,0,0.0,
subway,dedup_station_signature,69,69,0,0.0,"subset=['name', 'latitude', 'longitude']"
subway,toronto_bbox_filter,69,69,0,0.0,
