grid_id,grid_ix,grid_iy,crime,rentals,restaurants,subway,total_points,x_min,x_max,y_min,y_max,x_centroid,y_centroid,centroid_lon,centroid_lat,cell_area_km2
g_0_35,0,35,26.0,0.0,0.0,0.0,26.0,609500.0,610000.0,4844500.0,4845000.0,609750.0,4844750.0,-79.6368739766461,43.74766489367882,0.25
g_1_34,1,34,1.0,0.0,0.0,0.0,1.0,610000.0,610500.0,4844000.0,4844500.0,610250.0,4844250.0,-79.63076818880786,43.74309000150928,0.25
g_1_35,1,35,18.0,0.0,0.0,0.0,18.0,610000.0,610500.0,4844500.0,4845000.0,610250.0,4844750.0,-79.63066558120674,43.747590669905605,0.25
g_1_36,1,36,8.0,0.0,0.0,0.0,8.0,610000.0,610500.0,4845000.0,4845500.0,610250.0,4845250.0,-79.63056294980649,43.75209133455158,0.25
g_2_30,2,30,25.0,0.0,0.0,0.0,25.0,610500.0,611000.0,4842000.0,4842500.0,610750.0,4842250.0,-79.62497233289508,43.72501278773737,0.25
g_2_31,2,31,47.0,0.0,0.0,0.0,47.0,610500.0,611000.0,4842500.0,4843000.0,610750.0,4842750.0,-79.62486935600339,43.729513459495806,0.25
g_2_32,2,32,1.0,0.0,0.0,0.0,1.0,610500.0,611000.0,4843000.0,4843500.0,610750.0,4843250.0,-79.6247663552313,43.73401412750247,0.25
g_2_34,2,34,14.0,0.0,0.0,0.0,14.0,610500.0,611000.0,4844000.0,4844500.0,610750.0,4844250.0,-79.6245602820195,43.74301545226018,0.25
g_2_35,2,35,36.0,0.0,0.0,0.0,36.0,610500.0,611000.0,4844500.0,4845000.0,610750.0,4844750.0,-79.62445720956653,43.747516109011045,0.25
g_2_36,2,36,35.0,0.0,0.0,0.0,35.0,610500.0,611000.0,4845000.0,4845500.0,610750.0,4845250.0,-79.62435411320668,43.75201676200983,0.25
g_3_29,3,29,49.0,0.0,0.0,0.0,49.0,611000.0,611500.0,4841500.0,4842000.0,611250.0,4841750.0,-79.6188697256361,43.72043728437738,0.25
